CO2,Coolant,Litre per 100km(Instant),GPS Speed,OBD Speed,RPM,Engine Load,Long-Term Fuel Efficiency,Average Speed,RPM Variability,Coolant Temperature Change,Target,Lane_Departure,Forward_Collision,Tire_Pressure_FL,Tire_Pressure_FR,Blind_Spot_Detection,Tire_Pressure_RL,Tire_Pressure_RR
0.0,58.0,0.0,0.0,0.0,783.0,0.0,7.81545768983269,39.39300563063063,257.9128486645968,0.0267857142857142,0,0,0,0,0,0,0,0
0.0,58.0,0.0,0.0,0.0,779.0,0.0,7.81545768983269,39.39300563063063,257.9128486645968,0.0,0,0,0,1,1,0,1,1
0.0,58.0,0.0,0.0,0.0,778.0,0.0,7.81545768983269,39.39300563063063,257.9128486645968,0.0,0,0,0,1,1,0,1,1
0.0,58.0,0.0,0.0,0.0,778.0,0.0,7.81545768983269,39.39300563063063,257.9128486645968,0.0,0,0,0,1,1,0,1,1
0.0,58.0,0.0,0.0,0.0,1716.0,0.0,7.81545768983269,39.39300563063063,257.9128486645968,0.0,0,0,0,1,1,0,1,1
0.0,58.0,0.0,0.0,0.0,2165.0,0.0,7.81545768983269,39.39300563063063,257.9128486645968,0.0,0,0,0,1,1,0,1,1
0.0,58.0,0.0,0.0,0.0,2165.0,0.0,7.81545768983269,39.39300563063063,257.9128486645968,0.0,0,0,0,1,1,0,1,1
0.0,59.0,0.0,2.1,4.0,1808.0,1.5529310715052609,7.81545768983269,39.39300563063063,257.9128486645968,1.0,0,0,0,1,1,0,1,1
0.0,59.0,82.99333333333334,5.23,6.0,1704.0,2.195404767017393,7.81545768983269,39.39300563063063,257.9128486645968,0.0,0,0,0,1,1,0,1,1
0.0,59.0,62.33428571428572,7.33,8.0,1732.0,2.9753059909813184,14.532761904761909,1.466,592.8145297364654,0.0,0,0,0,1,1,0,1,1
0.0,59.0,41.60142857142858,9.57,14.0,1908.0,5.73588146875671,18.692904761904764,2.423,559.9478249503846,0.0,0,0,0,1,1,0,1,1
501.5833333333333,59.0,24.09166666666667,11.55,15.0,2063.0,6.644835731157397,21.102071428571428,3.5780000000000003,507.41853204890606,0.0,0,0,0,1,1,0,1,1
829.7542857142859,60.0,31.374285714285715,13.01,18.0,2421.0,9.357526304487868,24.2395,4.879,444.3732165146271,1.0,1,0,0,1,1,0,1,1
746.9214285714286,60.0,28.24285714285715,14.33,20.0,2846.0,12.22246081168134,27.06378571428572,6.312,366.50323630525065,0.0,1,1,0,1,1,0,1,1
579.71,60.0,21.92,15.47,21.0,2846.0,12.833583852265408,29.25578571428572,7.859,421.2367505334741,0.0,1,1,1,1,1,0,1,1
505.0528571428572,60.0,19.095714285714287,15.68,20.0,1921.0,8.249946317371698,31.165357142857147,9.427,428.295899790995,0.0,0,0,0,1,1,0,1,1
565.3471428571429,60.0,21.375714285714285,15.76,22.0,1652.0,7.804165771956195,33.30292857142857,11.003,455.0427208271527,0.0,0,1,1,1,1,0,1,1
236.88,61.0,8.96,16.48,22.0,1652.0,7.804165771956195,34.198928571428574,12.441,468.2701618130763,1.0,0,1,1,1,1,0,1,1
193.8914285714285,61.0,7.11857142857143,16.92,22.0,1558.0,7.360103070646339,26.611452380952382,13.61,483.1451242754203,0.0,0,1,1,1,1,0,1,1
129.7971428571429,62.0,4.907142857142857,17.25,21.0,772.0,3.4812110800944813,20.868738095238097,14.602,628.9206715565257,1.0,0,0,1,1,1,0,1,1
158.16,62.0,5.98,17.37,18.0,1455.0,5.623792140863217,17.306595238095237,15.382,649.3761450636895,0.0,0,0,0,1,1,0,1,1
337.1457142857143,62.0,14.152857142857142,17.44,18.0,1455.0,5.623792140863217,16.312714285714286,15.970999999999998,662.6807174902053,0.0,0,0,0,1,1,0,1,1
489.1942857142857,62.0,18.49571428571429,17.62,20.0,1533.0,6.583637534893708,15.024857142857144,16.432,637.8573508238342,0.0,0,0,0,1,1,0,1,1
432.9583333333334,62.0,16.369999999999997,17.64,23.0,1726.0,8.524371913248872,13.837571428571428,16.763,514.0512296130285,0.0,0,1,1,1,1,0,1,1
313.54857142857145,63.0,11.77142857142857,17.69,24.0,1826.0,9.410350010736526,12.822714285714287,16.985000000000003,314.29603879145486,1.0,0,1,1,1,1,0,1,1
288.485,63.0,10.905,17.77,24.0,1869.0,9.631951900365042,12.003642857142856,17.194,307.93354261376976,0.0,0,1,1,1,1,0,1,1
221.5171428571429,63.0,8.375714285714286,17.88,25.0,1869.0,10.03328322954692,10.703642857142857,17.406000000000002,323.2031524873752,0.0,0,1,1,1,1,0,1,1
170.05142857142854,64.0,6.43,18.15,24.0,1572.0,8.101352802233198,10.450642857142856,17.573,321.9769660498502,1.0,0,1,1,1,1,0,1,1
118.54166666666669,64.0,4.4833333333333325,18.75,24.0,805.0,4.148593515138502,10.187119047619047,17.756,401.6097608375569,0.0,0,1,1,1,1,0,1,1
105.98000000000002,64.0,4.002857142857143,19.17,24.0,777.0,4.004294610264118,10.096690476190476,17.948,400.6209208494008,0.0,0,0,1,1,1,0,1,1
112.40571428571428,64.0,4.248571428571428,19.47,22.0,745.0,3.5194331114451365,9.92354761904762,18.158,464.9991756265089,0.0,0,0,1,1,1,0,1,1
121.88,64.0,4.606666666666666,19.51,20.0,773.0,3.319733734163625,8.96892857142857,18.365,507.034132096756,0.0,0,0,0,1,1,0,1,1
143.54285714285714,64.0,5.424285714285714,19.51,17.0,773.0,2.821773674039081,7.661785714285713,18.554,532.7780963966138,0.0,0,0,0,1,1,0,1,1
21.662857142857145,64.0,10.461428571428572,19.06,13.0,2506.0,6.995490659222676,7.070928571428572,18.696,650.4812321146037,0.0,1,1,0,1,1,0,1,1
512.5833333333334,64.0,31.666666666666668,18.48,14.0,2506.0,7.533605325316728,9.06045238095238,18.775,735.5732836064366,0.0,1,0,0,1,1,0,1,1
1177.6085714285714,64.0,44.52428571428572,18.24,20.0,1864.0,8.005153532316942,12.422380952380951,18.822000000000003,735.2354120355675,0.0,0,0,0,1,1,0,1,1
636.0771428571428,64.0,24.048571428571428,18.56,29.0,2124.0,13.226540691432252,13.989666666666668,18.89,756.6859395489721,0.0,0,1,1,1,1,0,1,1
558.5149999999999,65.0,21.12,19.75,33.0,2456.0,17.403478634313934,15.458666666666668,19.05,822.04980249239,1.0,1,1,1,1,1,0,1,1
487.9614285714286,65.0,18.45142857142857,21.02,36.0,2688.0,20.7790423019111,16.85547619047619,19.277,851.9090718302432,0.0,1,1,1,1,1,0,1,1
304.53333333333336,66.0,11.513333333333334,37.61,37.0,2650.0,21.054326819841098,17.60652380952381,21.121,826.7798645615678,1.0,1,0,1,1,1,0,1,1
439.0142857142857,66.0,16.59714285714286,37.61,37.0,2119.0,16.83551642688426,18.841380952380952,22.935,719.094716369903,0.0,0,0,1,1,1,0,1,1
438.12000000000006,66.0,16.56666666666667,39.62,43.0,2260.0,20.867511273351944,20.03738095238096,24.946,563.5524623118756,0.0,1,0,1,1,1,0,1,1
418.19857142857137,67.0,15.81,43.01,46.0,2419.0,23.89392312647628,21.07595238095238,27.296,261.78863399484914,1.0,1,0,1,1,1,0,1,1
353.9785714285714,67.0,13.381428571428572,46.86,48.0,2536.0,26.13871591153103,21.36795238095238,30.076,263.8218253965273,0.0,1,0,1,1,1,0,1,1
160.96666666666667,68.0,6.09,48.38,48.0,2171.0,22.376637320163194,18.810285714285715,33.066,264.8005748567111,1.0,0,0,1,1,1,0,1,1
252.2642857142857,68.0,9.538571428571428,48.38,48.0,1975.0,20.35645265192184,15.311714285714285,36.08,244.721973767058,0.0,0,0,1,1,1,0,1,1
209.77428571428567,68.0,7.927142857142859,45.68,48.0,1977.0,20.37706678118961,13.699571428571428,38.792,262.8672880202314,0.0,0,0,1,1,1,0,1,1
206.05499999999995,69.0,7.793333333333333,47.33,48.0,1992.0,20.53167275069788,12.366904761904763,41.55,277.7257040078697,1.0,0,0,1,1,1,0,1,1
207.95,69.0,7.864285714285713,47.33,48.0,1992.0,20.53167275069788,11.308190476190475,44.181,249.53576897911896,0.0,0,0,1,1,1,0,1,1
202.74857142857144,69.0,7.662857142857143,47.96,49.0,2020.0,21.25402619712261,10.923142857142858,45.216,200.5794107080792,0.0,0,0,1,1,1,0,1,1
210.41,69.0,7.951666666666667,49.12,49.0,2026.0,21.31715696800516,10.058595238095238,46.367,204.1006287757756,0.0,0,0,1,1,1,0,1,1
212.94,70.0,8.051428571428572,49.16,49.0,2034.0,21.401331329181875,9.207071428571428,47.321,201.43805223663475,1.0,0,0,1,1,1,0,1,1
216.52428571428567,70.0,8.187142857142858,49.16,49.0,2041.0,21.47498389521151,8.444785714285715,47.936,171.06282146886625,0.0,0,0,1,1,1,0,1,1
214.89166666666668,71.0,8.128333333333334,49.09,49.0,2041.0,21.47498389521151,7.919476190476191,48.159,56.647938081533226,1.0,0,0,1,1,1,0,1,1
215.62571428571425,71.0,8.154285714285715,48.06,49.0,2021.0,21.2645479922697,8.125904761904762,48.127,25.60577191876649,0.0,0,0,1,1,1,0,1,1
209.0428571428572,71.0,7.905714285714285,48.06,49.0,2011.0,21.1593300407988,7.962619047619048,48.095,22.137198457706653,0.0,0,0,1,1,1,0,1,1
200.8133333333333,71.0,7.593333333333334,48.61,49.0,2009.0,21.138286450504616,7.929238095238095,48.388,17.85154832999401,0.0,0,0,1,1,1,0,1,1
204.8685714285714,71.0,7.747142857142857,48.61,48.0,2009.0,20.70689284947391,7.924619047619046,48.516000000000005,15.707040176667444,0.0,0,0,1,1,1,0,1,1
201.25666666666663,72.0,7.608333333333334,48.0,48.0,2000.0,20.61412926776895,7.899023809523811,48.583000000000006,14.234543274111608,1.0,0,0,1,1,1,0,1,1
155.67428571428573,72.0,5.8900000000000015,48.63,49.0,2026.0,21.31715696800516,7.721738095238097,48.65,14.304622407549102,0.0,0,0,1,1,1,0,1,1
82.16285714285716,72.0,3.388571428571428,48.63,49.0,2030.0,21.359244148593515,7.265428571428572,48.601,14.489843186035149,0.0,0,0,1,1,1,0,1,1
72.34333333333335,73.0,2.733333333333333,50.4,49.0,2041.0,21.47498389521151,6.733619047619048,48.725,15.27125113117601,1.0,0,0,1,1,1,0,1,1
71.44428571428571,73.0,2.704285714285714,50.4,49.0,2041.0,21.47498389521151,6.185333333333333,48.849,15.27125113117601,0.0,0,0,1,1,1,0,1,1
74.41142857142857,74.0,2.815714285714285,49.16,49.0,2038.0,21.44341850977024,5.654071428571429,48.856,14.901155809022946,1.0,0,0,1,1,1,0,1,1
90.17,74.0,3.41,49.13,49.0,2034.0,21.401331329181875,5.179642857142857,48.963,15.3075870803519,0.0,0,0,1,1,1,0,1,1
104.45714285714288,74.0,3.947142857142857,48.39,49.0,2003.0,21.075155679622075,4.783785714285714,48.996,16.237473804625203,0.0,0,0,1,1,1,0,1,1
114.90714285714286,74.0,4.342857142857143,48.46,49.0,1998.0,21.022546703886626,4.458738095238095,48.981,17.613126418173344,0.0,0,0,1,1,1,0,1,1
119.85833333333332,74.0,4.531666666666666,48.46,48.0,1979.0,20.39768091045737,4.137190476190476,48.966,22.065558884588004,0.0,0,0,1,1,1,0,1,1
122.63571428571429,74.0,4.64,50.57,48.0,1976.0,20.366759716555723,3.840357142857143,49.223,25.41303252708249,0.0,0,0,1,1,1,0,1,1
126.68999999999998,74.0,4.788571428571428,51.33,48.0,1967.0,20.27399613485076,3.730214285714285,49.493,29.507249580028688,0.0,0,0,1,1,1,0,1,1
142.02833333333334,74.0,5.366666666666667,51.33,48.0,1967.0,20.27399613485076,3.928023809523809,49.763,31.58128841225605,0.0,0,0,1,1,1,0,1,1
170.19857142857146,75.0,6.431428571428571,48.13,48.0,1977.0,20.37706678118961,4.297833333333333,49.536,29.77321689782212,1.0,0,0,1,1,1,0,1,1
